FlightID,fl_cluster,pax_pct_cls_first,pax_pct_cls_business,pax_pct_cls_premiumeconomy,pax_pct_cls_economy,pax_total,Duration (hours),avg_waste_rate,avg_waste_cost
1,2,0.0307692307692307,0.1269230769230769,0.1076923076923077,0.7346153846153847,260.0,2.25,0.5738186172559401,71.52555555555556
3,1,0.029739776951672795,0.1672862453531598,0.2007434944237918,0.6022304832713755,269.0,7.170000000000001,0.6686657681940701,304.28
4,2,0.0304182509505703,0.1330798479087452,0.1064638783269961,0.7300380228136883,263.0,11.5,0.6641014799154333,245.90727272727273
5,2,0.0300751879699248,0.131578947368421,0.10526315789473681,0.7330827067669173,266.0,14.0,0.6408380845481612,187.26137931034484
7,0,0.0,0.1476793248945147,0.11392405063291132,0.7383966244725738,237.0,10.6,0.6668961038961039,202.66954545454547
8,0,0.0,0.1446808510638297,0.1148936170212766,0.7404255319148935,235.0,10.6,0.6648512272041684,194.8227272727273
9,2,0.023076923076923,0.1269230769230769,0.1038461538461538,0.7461538461538463,260.0,8.0,0.6676066569089825,224.52727272727273
11,0,0.0,0.0884955752212389,0.1238938053097345,0.7876106194690266,226.0,11.0,0.6620909090909092,117.08590909090908
12,0,0.0,0.0881057268722467,0.1233480176211453,0.788546255506608,227.0,7.0,0.661625,110.47999999999999
13,0,0.0,0.0821917808219178,0.1187214611872146,0.7990867579908676,219.0,11.25,0.640600358422939,85.9990322580645
14,1,0.029197080291970802,0.1678832116788321,0.1970802919708029,0.6058394160583942,274.0,8.0,0.6247684108527132,210.0455
15,1,0.025735294117647,0.1764705882352941,0.1948529411764706,0.6029411764705882,272.0,8.2,0.6669681227863046,314.05
16,1,0.0288808664259927,0.1660649819494584,0.2021660649819494,0.6028880866425993,277.0,8.2,0.6684014386287114,308.98636363636365
18,0,0.0,0.1495726495726495,0.1153846153846153,0.735042735042735,234.0,3.17,0.6677952047952048,200.98000000000002
19,2,0.0261194029850746,0.1305970149253731,0.1044776119402985,0.7388059701492538,268.0,9.5,0.6673460251869343,242.21363636363637
20,1,0.0288808664259927,0.1732851985559566,0.1949458483754512,0.6028880866425993,277.0,13.3,0.6373794341442504,253.88290322580644
21,0,0.0,0.085201793721973,0.1255605381165919,0.7892376681614349,223.0,13.3,0.6455730050933787,91.59290322580645
22,1,0.028985507246376798,0.1739130434782608,0.1956521739130435,0.6014492753623188,276.0,7.8,0.6652854122621564,316.38545454545454
23,2,0.0306513409961685,0.1264367816091954,0.10727969348659,0.735632183908046,261.0,12.1,0.6355588897224307,186.9490322580645
24,2,0.0267175572519083,0.1335877862595419,0.10305343511450381,0.7366412213740458,262.0,5.2,0.6651902748414377,239.80090909090907
25,1,0.028985507246376798,0.1630434782608695,0.2028985507246377,0.605072463768116,276.0,9.3,0.6649999999999999,300.7927272727273
26,0,0.0,0.0892857142857142,0.125,0.7857142857142857,224.0,7.5,0.62283125,76.221
28,0,0.0,0.0881057268722467,0.1233480176211453,0.788546255506608,227.0,7.25,0.6655113636363637,116.71545454545453
29,1,0.029739776951672802,0.174721189591078,0.2044609665427509,0.5910780669144982,269.0,9.0,0.6642929136336624,195.52684210526314
30,0,0.0,0.0888888888888888,0.1155555555555555,0.7955555555555556,225.0,3.5,0.747575,120.37100000000001
31,1,0.0291970802919708,0.1715328467153284,0.20437956204379557,0.5948905109489051,274.0,5.5,0.7048237555256582,312.01272727272726
32,0,0.0,0.091324200913242,0.1278538812785388,0.7808219178082192,219.0,7.0,0.6908938790914705,92.53526315789473
33,1,0.0288808664259927,0.1696750902527075,0.1949458483754512,0.6064981949458483,277.0,8.5,0.6654756871035941,310.88363636363636
34,1,0.029520295202952004,0.1697416974169741,0.1992619926199262,0.6014760147601476,271.0,10.6,0.662077922077922,306.35227272727275
